date,AIR,ACA,ATO,RMS,SAF,AI,CA,FP,OR,AC,EN,SAN,CS,BN,RI,MC,SW,ML,HO,KER,UG,EL,SU,VIE,SGO,CAP,DG,VIV,PUB,DSY,GLE,BNP,RNO,ORA,ENGI,LR,URW,FTI,MT,STM
2012-09-07,26.7983,3.8721,32.5149,212.5276,24.3071,63.9388,14.0598,27.3053,86.6174,22.8879,14.4365,48.5833,8.2935,41.3347,76.8396,113.0169,52.5956,47.8401,23.2134,100.7781,4.8865,71.0087,43.0911,6.7079,24.0429,27.7331,27.7046,10.8158,35.5046,36.4656,17.814362,27.8976,29.7654,7.559,12.1151,25.1804,115.0001,32.2,24.007,3.4026
2012-09-14,22.4176,4.3042,34.05,205.684,24.2162,64.8597,14.4158,28.1774,86.0789,23.0103,14.9364,49.4499,8.7174,40.6831,75.8619,107.8701,51.5088,51.8839,23.2306,98.7218,5.3491,71.7446,43.3876,6.9151,24.9473,29.0037,28.603,10.9403,37.2611,37.0522,18.00349,29.5335,32.1296,7.6124,12.3955,25.1412,115.2465,34.283,25.8714,3.86
2012-09-21,22.7675,4.2433,36.3643,201.5122,24.4545,65.9063,14.4199,27.477,85.7434,22.7992,14.2922,50.7132,8.3877,41.509,76.8222,104.2546,52.8315,51.2786,23.2306,98.5236,4.9367,72.9514,40.3773,6.5935,24.9021,28.6168,27.607,10.8435,36.695,39.3565,17.308811,29.2934,30.6191,7.0282,12.1493,25.8872,114.4015,33.3199,23.9297,3.5287
2012-09-28,21.8506,3.8931,35.9664,195.9342,24.2508,63.8925,13.3603,26.3638,84.9841,21.9128,13.3769,48.7302,7.7989,39.7659,76.2198,99.5331,49.3605,49.2042,22.9514,94.4502,4.6709,71.4993,37.9312,6.0807,22.4727,28.9509,25.8923,10.4876,36.2538,38.371,16.075844,27.3105,28.2163,6.6884,11.3267,25.5905,109.2254,32.2933,21.5628,3.1288
2012-10-05,23.4585,4.2331,34.9518,204.934,25.802,64.661,13.3769,26.4525,86.4585,22.3011,13.5776,50.4782,8.0546,39.8074,77.0229,103.8718,51.5677,53.2157,24.5531,96.269,4.7673,70.1747,41.5262,6.0329,23.4222,28.4893,26.6617,10.7502,37.1612,38.9529,17.276077,29.0903,28.4094,6.8145,11.688,26.6419,114.8944,33.3647,22.0168,3.319
2012-10-12,23.3345,4.3281,33.8908,203.434,25.594,61.9052,13.4348,26.0462,85.1872,21.3429,13.5987,48.7228,7.9032,39.6788,75.8357,104.5098,50.6242,52.5458,24.3513,103.3884,4.5714,68.2221,39.1131,5.9504,21.8438,27.8386,26.2243,10.574,35.6836,37.9392,17.439745,28.3961,26.5435,6.61,11.2779,25.2066,117.3592,32.7936,22.1037,3.4869
2012-10-19,23.7375,4.4775,34.912,201.4185,25.7803,62.3557,15.1939,27.0468,89.213,20.8026,13.9296,50.4121,8.391,38.9857,74.5175,107.0194,51.037,50.6974,23.9605,106.1969,4.6344,68.6833,40.9497,6.1648,22.7029,27.7243,27.2632,10.8815,35.4255,38.7464,18.985498,30.1243,28.7803,6.8679,11.5969,25.8828,121.7606,34.2307,24.2678,3.563
2012-10-26,24.0255,4.2665,34.3484,198.4185,26.1356,60.6532,15.3015,26.4389,86.3878,20.3045,13.296,50.1991,8.2195,39.0936,72.8065,106.3388,50.3546,51.7064,23.617,108.5698,4.0124,68.3987,39.6525,5.7259,22.4398,27.4429,26.818,11.0543,34.31,39.1313,17.923473,28.8946,26.841,6.2873,11.4439,26.0442,120.0353,32.5099,23.2244,3.4578
2012-11-02,24.3178,4.3368,34.7728,205.309,26.9892,61.2229,15.7485,26.9375,88.6833,20.8532,13.0108,50.9996,8.4415,40.0066,72.5446,110.5924,50.9864,54.8866,23.3551,108.9655,3.6433,71.0479,41.3615,5.6274,22.8796,28.7355,26.9273,10.9748,34.3974,38.7464,18.469036,28.7765,27.2659,6.1661,11.6001,26.5197,122.0423,32.7973,23.0119,3.4795
2012-11-09,23.3167,4.0403,34.5805,214.0276,26.2569,60.6134,15.4588,25.954,87.05,20.4944,12.7257,50.3827,7.9166,41.3181,72.7715,107.6149,50.978,53.0059,22.9557,106.9876,3.3592,69.8116,41.2544,5.7215,23.3935,27.5748,25.6071,10.3701,34.2018,38.2489,17.908926,29.1383,26.4585,5.9147,10.9459,25.3244,119.0142,31.3751,23.2631,3.2646
2012-11-16,22.298,3.9591,35.0248,208.5433,25.1737,59.7589,14.5482,25.2539,87.0677,19.5657,12.437,48.811,7.7383,40.1187,72.5971,105.2329,50.8685,52.6346,22.3073,104.8522,3.3387,68.6146,39.809,5.3427,22.3412,26.8758,25.3013,10.878,34.6388,38.1785,17.774355,28.9906,26.2654,5.6995,10.5065,24.8576,116.5846,30.7255,22.181,3.1594
2012-11-23,22.0543,4.2049,35.8072,221.6681,26.8635,62.5677,15.6036,26.3638,92.1706,21.1994,12.9334,50.8968,8.3103,40.5337,76.5043,111.0603,52.1575,56.0166,23.1103,110.6268,3.6098,72.8337,43.5688,5.8751,24.6636,27.632,26.7671,11.4655,36.2996,39.9056,19.738373,31.461,29.5066,5.8783,11.1835,26.3234,120.7395,32.7861,22.8083,3.4907
2012-11-30,22.9358,4.2259,36.1984,222.7462,27.2881,62.2099,15.7154,26.2784,92.1264,21.5624,13.3664,50.4267,8.5021,40.4839,76.7866,115.7125,52.3091,57.7197,23.7501,113.4346,3.5825,72.8533,44.5077,6.0547,25.2227,28.6212,26.9538,11.4171,36.208,40.8302,20.225737,31.7158,29.7113,5.7985,11.2584,27.1697,127.0775,33.3423,22.7595,3.7362
2012-12-07,26.3952,4.4289,36.7024,221.2462,27.9424,62.6869,15.8768,26.1418,92.7444,21.8874,14.0387,52.3657,8.6871,40.9861,77.8891,118.5002,53.4296,57.2273,23.9605,112.3273,3.4405,75.5025,44.4583,6.1705,25.6214,28.7091,27.4107,11.4206,37.7647,40.1731,21.295036,32.5171,29.6804,5.8206,9.9011,27.5711,126.4789,33.0586,23.6945,3.8124
2012-12-14,25.6201,4.3165,36.0791,215.7151,28.2673,62.9518,15.8933,26.9511,91.7292,21.9508,14.9927,52.7329,8.741,41.5837,78.2242,118.2858,54.3142,57.7681,23.7014,112.0507,3.9972,75.6497,45.2489,6.4458,26.0571,29.8478,28.1297,11.697,37.7481,39.9807,21.273216,32.4358,31.5231,6.0557,9.9434,27.3093,125.7747,32.1515,24.8535,4.0259
2012-12-21,26.5724,4.426,34.733,216.3713,28.2892,62.5677,15.9927,27.1834,93.2742,22.4067,15.7073,53.0928,8.9933,41.206,77.2629,120.0871,53.9351,58.1071,22.9951,111.5367,4.2152,74.1485,45.7266,6.6638,26.4929,29.1136,28.6183,11.7558,37.8105,39.6287,21.004072,32.2401,31.6545,5.946,10.0508,27.8808,129.5775,32.1776,25.0872,4.0991
2012-12-28,26.0409,4.389,34.6203,209.809,28.4161,62.2629,15.9471,26.9789,92.5237,22.2842,15.6017,51.947,8.8991,40.9695,76.4161,118.2,53.6908,57.4856,22.5618,110.8243,4.1324,73.9719,44.9524,6.5544,26.3737,29.1752,28.3601,11.7281,37.3901,39.6428,20.476694,31.2653,31.1522,5.8968,10.0346,27.6845,129.4015,32.3046,25.0579,4.077
2013-01-04,27.2855,4.6058,35.0579,216.5119,29.0285,63.23,16.9943,27.6098,93.2742,22.947,16.4748,54.1063,9.3297,41.5007,77.7303,121.674,54.4069,59.6407,22.9864,114.8984,4.6898,75.2769,46.4761,6.6044,27.463,28.9685,29.4923,11.6141,38.8137,39.8915,21.335045,32.7793,31.4999,6.0607,10.4121,28.8755,130.2466,32.6368,26.3045,4.2539
2013-01-11,28.61,5.1647,35.5619,214.6838,29.0066,61.4084,15.8644,27.3776,91.5967,22.7022,16.0594,54.2091,9.2557,41.1687,77.1217,118.2429,53.8761,56.4444,22.8434,116.0449,4.6329,73.8934,45.636,6.3053,26.0777,30.1468,29.4724,11.5242,39.5421,39.9854,23.928272,33.876,31.0209,6.2203,10.0346,28.0073,131.1268,29.9528,25.467,4.5459
2013-01-18,30.6519,5.4076,36.5167,227.4805,29.7065,61.1632,16.7377,27.2562,95.6137,23.9052,16.0136,52.9532,9.1682,41.343,81.1348,121.3309,55.3252,58.1959,23.5714,124.3114,4.7445,74.2662,45.1336,6.5044,25.605,30.6524,29.9452,11.5346,40.7075,38.8637,24.179234,34.1455,33.6865,6.4155,9.9597,29.0194,123.4156,30.4978,25.5546,4.7823
2013-01-25,30.8158,5.4939,37.0937,228.5586,30.1396,62.4683,17.76,27.6133,98.0857,24.4793,15.3976,53.6803,9.101,43.0113,81.126,120.8162,55.7211,56.8883,23.3937,124.7225,4.6633,76.1011,46.369,6.8521,25.9996,31.9142,30.5848,10.961,40.9198,39.5583,24.532028,34.4631,33.9916,6.0187,9.9727,29.8832,124.0846,31.6625,25.6423,4.8952
2013-02-01,31.1746,5.4555,36.5698,230.2461,29.8334,63.568,17.433,27.8456,98.792,24.7833,15.0244,52.9532,9.2894,42.5216,82.9782,119.9584,56.8354,57.3887,23.6017,130.6766,4.4681,74.6293,46.6161,6.8492,24.9884,31.7603,30.1756,10.961,40.9364,38.8778,24.54294,34.5296,34.7952,5.9631,9.8718,29.4513,123.0634,30.2365,24.9411,5.0644
2013-02-08,31.0462,5.3286,37.2461,230.9492,29.5228,60.7128,17.2675,26.6114,95.8786,24.7115,14.4189,50.7132,8.9193,42.3224,80.4645,114.1685,58.2341,57.3887,23.0254,128.5191,4.5478,71.7446,45.1418,7.0252,24.6636,31.4569,28.2052,10.8953,40.6035,38.3897,23.240868,32.9343,33.6865,5.6183,9.6082,29.0194,121.655,29.8595,23.8503,4.8471
2013-02-15,30.9133,5.2119,37.7302,236.5741,29.934,59.6926,16.5556,25.8625,97.556,24.969,14.3978,52.8063,9.0505,41.6086,85.0597,114.0828,59.5723,53.6839,23.775,137.4699,4.8516,71.3914,44.8783,6.7898,25.1281,31.4569,27.8119,10.847,41.6232,39.4504,21.815136,33.9757,37.1749,5.3867,9.491,29.5909,121.2325,29.8707,23.5874,4.8563
2013-02-22,31.7947,5.2757,38.6519,240.2303,29.9165,61.3819,17.3833,26.3895,99.41,23.825,14.1514,53.4967,9.1548,44.3974,86.3298,113.611,60.9796,53.6032,23.3851,137.1105,4.3473,74.3055,48.6669,6.6232,25.8804,33.4442,28.2926,10.6776,42.0228,40.6706,21.691475,32.2217,36.5993,5.3582,9.5626,30.5725,121.5494,31.1436,22.4382,4.6657
2013-03-01,34.5056,5.093,37.4583,243.1581,31.6225,62.5212,17.0357,26.5663,101.7055,23.196,15.2216,53.0487,8.8385,44.082,87.5646,112.7103,61.8171,54.2489,26.2578,138.1897,4.2228,78.0929,47.9339,6.9817,24.8733,32.7055,28.1099,10.7848,42.0811,41.0038,20.840401,31.2911,37.6539,5.2058,9.2306,30.4329,122.1832,30.1507,21.8928,4.7068
2013-03-08,35.4358,5.2612,38.2076,245.1384,31.0188,63.0181,18.7202,27.173,105.1486,23.8883,15.6757,55.7368,9.3836,46.2981,87.7145,117.2565,62.3869,54.7574,27.8437,141.9063,5.0134,77.9457,49.4164,7.6951,26.0366,34.0641,29.0593,10.9541,44.0374,41.6186,22.437077,32.9454,41.884,5.6283,9.5756,31.1178,123.9437,30.2477,22.1071,4.7819
2013-03-15,37.7258,5.2075,37.9424,241.6964,31.5875,63.7733,17.851,27.1557,106.2081,23.8461,16.0382,55.7294,9.7604,45.7254,88.2878,115.1121,62.8445,54.7978,28.8836,142.6656,4.9587,84.1468,48.601,7.2287,25.8722,33.9805,28.7494,11.1268,44.4786,41.3464,21.804228,32.4875,40.5474,6.0607,9.5073,30.8997,130.6691,30.6546,22.2337,4.5588
2013-03-22,36.6317,4.758,36.2449,247.5902,31.2288,63.303,18.0787,26.8213,106.2081,23.1327,15.6792,56.9192,9.397,45.1942,86.074,112.2386,62.5337,52.8445,28.589,137.4304,4.6747,86.6194,45.916,7.2642,24.6636,31.9801,27.9072,11.196,43.1883,41.5294,19.952961,30.4086,39.4889,6.0628,10.2201,30.0185,129.7888,29.8334,20.2567,4.723
